screen_names,texts
MyriamC55014190,"RT @AlfTuitea: Para la próxima ya sabemos, que las marchas se hagan en la rural del prado, porque ahí es sabido que no se contagia la gente…"
danielghis,"RT @M24radio: Rural del Prado «tuvo protocolo estricto», mientras que la Marcha por la Diversidad «fue una irresponsabilidad», dijo Lacalle…"
belenregueira21,RT @edisonhahmed: “Sabemos lo que está bien y lo que está mal” -El presi con respecto a la rural del prado y a la marcha de la diversidad.
belenregueira21,RT @RominaPesce5: Rural del prado (cumpliendo protocolo) // marcha de la diversidad ¿qué es el protocolo? https://t.co/8HJr2MkFnk
pizzamilanesa,"(este razonamiento aplica para CUALQUIER evento que suponga una cantidad de gente considerable, repito, sea rural d… https://t.co/GcAbiWsmro"
Andy_Baliero,@gonzalo3420 @rotambor Más allá de que habilitan ciertas cosas y otras no porque son riesgosas. Toda aglomwraciin e… https://t.co/r05cCt0Kec
MarioMassaferro,RT @gera_nunez1001: Mucho indignado con la marcha de la diversidad y el peligro de propagar el covid-19. Pero pocas ganas de  indignarse co…
tereaxe78,"RT @M24radio: Rural del Prado «tuvo protocolo estricto», mientras que la Marcha por la Diversidad «fue una irresponsabilidad», dijo Lacalle…"
Vanessa6rassi,RT @RominaPesce5: Rural del prado (cumpliendo protocolo) // marcha de la diversidad ¿qué es el protocolo? https://t.co/8HJr2MkFnk
M24radio,"Rural del Prado «tuvo protocolo estricto», mientras que la Marcha por la Diversidad «fue una irresponsabilidad», di… https://t.co/FEWF7e1u4i"
NataliToro4,RT @gera_nunez1001: Mucho indignado con la marcha de la diversidad y el peligro de propagar el covid-19. Pero pocas ganas de  indignarse co…
JuanJoseVeraFi1,RT @RominaPesce5: Rural del prado (cumpliendo protocolo) // marcha de la diversidad ¿qué es el protocolo? https://t.co/8HJr2MkFnk
LeticiaMerola,"RT @AlfTuitea: Para la próxima ya sabemos, que las marchas se hagan en la rural del prado, porque ahí es sabido que no se contagia la gente…"
pizzamilanesa,Criticar el poco cuidado y el egoismo de muchas personas en la marcha del viernes no significa estar de acuerdo con… https://t.co/OcMIsfMleI
BolsoLiberal,RT @RominaPesce5: Rural del prado (cumpliendo protocolo) // marcha de la diversidad ¿qué es el protocolo? https://t.co/8HJr2MkFnk
AgustinMora957,"RT @M_modernel: “Critican las aglomeraciones y no critican la Rural del prado”.

La rural del prado: https://t.co/OMYCnvA28q"
emanuel04147429,RT @RominaPesce5: Rural del prado (cumpliendo protocolo) // marcha de la diversidad ¿qué es el protocolo? https://t.co/8HJr2MkFnk
getchandy,RT @RominaPesce5: Rural del prado (cumpliendo protocolo) // marcha de la diversidad ¿qué es el protocolo? https://t.co/8HJr2MkFnk
jgsp12071979,RT @RominaPesce5: Rural del prado (cumpliendo protocolo) // marcha de la diversidad ¿qué es el protocolo? https://t.co/8HJr2MkFnk
DutradaSilvia,RT @RominaPesce5: Rural del prado (cumpliendo protocolo) // marcha de la diversidad ¿qué es el protocolo? https://t.co/8HJr2MkFnk
OscarMa10428520,RT @RominaPesce5: Rural del prado (cumpliendo protocolo) // marcha de la diversidad ¿qué es el protocolo? https://t.co/8HJr2MkFnk
NickyLakes,RT @RominaPesce5: Rural del prado (cumpliendo protocolo) // marcha de la diversidad ¿qué es el protocolo? https://t.co/8HJr2MkFnk
