Id,Label,timeset,afinidad,modularity_class,pageranks,indegree,outdegree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,componentnumber,strongcompnum,clustering,eigencentrality
3848651188,estefaniadebert,,,5,0.000143,1,3,4,7,0.295901,0.32207,0,0.001059,0.004121,0,2,0.333333,0.014491
876915130407243776,majlopez947,,,5,0.000442,17,14,31,7,0.32017,0.354803,0.000019,0.012261,0.010527,0,2,0.516667,0.143158
737851123969761280,GerardoSandro,,,4,0.000123,0,8,8,7,0.311485,0.341449,0,0,0.015789,0,7,0.428571,0
2321612448,SabelinaBlue,,,5,0.00039,12,15,27,6,0.344444,0.378305,0.00024,0.00979,0.015151,0,2,0.57619,0.12508
2411534192,elerosi69,,,5,0.00022,4,13,17,7,0.312574,0.347371,0.000003,0.003399,0.012201,0,2,0.429487,0.04862
1143207159678886016,Gaviota_Uy,,,3,0.00016,2,36,38,6,0.353217,0.398023,0.000413,0.001934,0.052668,0,2,0.273016,0.026724
3582566176,dany101168uy,,,5,0.000668,30,48,78,6,0.368789,0.413536,0.001021,0.020821,0.041098,0,2,0.471088,0.256648
3300703175,enrdar2508,,,5,0.000305,8,11,19,7,0.315663,0.348145,0.000001,0.006088,0.013249,0,2,0.602564,0.087781
598555634,71Morfeo,,,4,0.000143,1,3,4,7,0.296317,0.322703,0,0.001059,0.006749,0,2,0.166667,0.014491
2780388628,Alyox_music,,,5,0.000143,1,3,4,7,0.294085,0.320378,0,0.001059,0.002517,0,2,1,0.014491
2332268251,globosaloncafe,,,5,0.000175,3,13,16,6,0.329787,0.360974,0.000187,0.003052,0.01817,0,2,0.164835,0.023204
1168972896347312128,ClaudiaYBarreto,,,5,0.000198,4,10,14,7,0.309454,0.342437,0.000001,0.003257,0.014718,0,2,0.439394,0.042191
1548132433,Flor_Rolando98,,,9,0.000374,5,6,11,7,0.30533,0.332206,0.0009,0.001388,0.003677,0,2,0.166667,0.017754
1231277090324041728,Carito91124342,,,5,0.000246,7,29,36,6,0.347511,0.388267,0.000021,0.005669,0.020924,0,2,0.429803,0.054512
1075919932066533376,JanetSV5,,,5,0.000264,5,6,11,7,0.302526,0.333851,0.001229,0.003614,0.007177,0,2,0.452381,0.050525
484036403,Gaby_Santos1001,,,5,0.000143,1,3,4,7,0.299943,0.326624,0,0.001059,0.006622,0,2,0,0.014491
977591353168355200,kwkwkwksnnwiwk,,,5,0.000221,5,8,13,7,0.308458,0.341362,0,0.004306,0.008275,0,2,0.638889,0.049667
3252953710,Maury_uy,,,5,0.000274,7,6,13,7,0.305773,0.338341,0.000001,0.005594,0.006439,0,2,0.696429,0.077065
2442701724,LizetElizabeth,,,5,0.000528,22,11,33,7,0.314721,0.350515,0.000343,0.018501,0.0091,0,2,0.673913,0.206592
158168766,migueloblasco,,,5,0.000321,6,13,19,7,0.309727,0.343275,0.000013,0.003734,0.01284,0,2,0.447619,0.056693
1262886074138923008,elmasquina,,,5,0.000479,16,21,37,6,0.344557,0.382052,0.000719,0.012205,0.014487,0,2,0.54529,0.145626
1245322668670361600,gerumpierrez,,,5,0.000154,2,4,6,6,0.327736,0.357985,0,0.00254,0.005139,0,2,0.583333,0.022949
155202530,arompani,,,5,0.000504,21,3,24,7,0.299687,0.325834,0.000135,0.011095,0.003842,0,2,0.332016,0.128767
