userFromName,userFromId,userToId,userToName
Sodoma_Uy,3374895262.0,559954428.0,arielsaporiti
LcX29xxxx,8.328102634683146e+17,559954428.0,arielsaporiti
GardelianoSoy,7.126967710136852e+17,559954428.0,arielsaporiti
cdanmatt,51648209.0,559954428.0,arielsaporiti
fulanitofb,2933008797.0,559954428.0,arielsaporiti
fernando_britos,75576640.0,559954428.0,arielsaporiti
LauraSoca3,9.069811369576161e+17,559954428.0,arielsaporiti
fernando_britos,75576640.0,559954428.0,arielsaporiti
LauraSoca3,9.069811369576161e+17,559954428.0,arielsaporiti
Alfredo45642669,1.2705189370091725e+18,559954428.0,arielsaporiti
Rafaeltt591,1.039984351579177e+18,559954428.0,arielsaporiti
DANIELLATORREA3,1.123338441943593e+18,559954428.0,arielsaporiti
Andres14031985,1.0885438715949097e+18,559954428.0,arielsaporiti
ojopterouy,7.16381190719148e+17,559954428.0,arielsaporiti
Mercedi97449162,1.1909677008703078e+18,559954428.0,arielsaporiti
atilio357,141202588.0,559954428.0,arielsaporiti
Lahamgatt,196554333.0,559954428.0,arielsaporiti
TessaBlanca,1.296126871277654e+18,559954428.0,arielsaporiti
elisouto55,7.253281376561111e+17,559954428.0,arielsaporiti
elhaelhita,157776761.0,559954428.0,arielsaporiti
Alberto2307,802934778.0,559954428.0,arielsaporiti
MillorLujan,1.0529164598343639e+18,7.9167102057916e+17,mahur05
awaleman1,2693534743.0,7.9167102057916e+17,mahur05
AliciaB11037130,1.2857177065457828e+18,7.9167102057916e+17,mahur05
tozurdo,119449145.0,7.9167102057916e+17,mahur05
MyriamC55014190,1.1833380181800755e+18,7.9167102057916e+17,mahur05
MarioMassaferro,2602383902.0,7.9167102057916e+17,mahur05
kamba_lucy,1.0617684234395894e+18,7.9167102057916e+17,mahur05
tinginda,7.715196951786332e+17,7.9167102057916e+17,mahur05
SirRangerVerde,385050279.0,7.9167102057916e+17,mahur05
laucanellas,202594209.0,7.9167102057916e+17,mahur05
laresistencia72,1367991289.0,7.9167102057916e+17,mahur05
Graciel34500276,7.530613999963013e+17,7.9167102057916e+17,mahur05
Mabel546,1.0451170287330017e+18,7.9167102057916e+17,mahur05
Manya09270302,1.1125246756812636e+18,7.9167102057916e+17,mahur05
antonio47074983,9.656700480053494e+17,7.9167102057916e+17,mahur05
Viruviru20,1.038253025515778e+18,7.9167102057916e+17,mahur05
StellaValverde,165206226.0,7.9167102057916e+17,mahur05
LeoGardil,343518424.0,7.9167102057916e+17,mahur05
arielsaporiti,559954428.0,7.9167102057916e+17,mahur05
CristinaFigliol,2557772984.0,7.9167102057916e+17,mahur05
MillorLujan,1.0529164598343639e+18,7.9167102057916e+17,mahur05
MillorLujan,1.0529164598343639e+18,7.9167102057916e+17,mahur05
awaleman1,2693534743.0,7.9167102057916e+17,mahur05
AliciaB11037130,1.2857177065457828e+18,7.9167102057916e+17,mahur05
tozurdo,119449145.0,7.9167102057916e+17,mahur05
MyriamC55014190,1.1833380181800755e+18,7.9167102057916e+17,mahur05
MarioMassaferro,2602383902.0,7.9167102057916e+17,mahur05
kamba_lucy,1.0617684234395894e+18,7.9167102057916e+17,mahur05
tinginda,7.715196951786332e+17,7.9167102057916e+17,mahur05
SirRangerVerde,385050279.0,7.9167102057916e+17,mahur05
laucanellas,202594209.0,7.9167102057916e+17,mahur05
laresistencia72,1367991289.0,7.9167102057916e+17,mahur05
Graciel34500276,7.530613999963013e+17,7.9167102057916e+17,mahur05
Mabel546,1.0451170287330017e+18,7.9167102057916e+17,mahur05
Manya09270302,1.1125246756812636e+18,7.9167102057916e+17,mahur05
antonio47074983,9.656700480053494e+17,7.9167102057916e+17,mahur05
Viruviru20,1.038253025515778e+18,7.9167102057916e+17,mahur05
StellaValverde,165206226.0,7.9167102057916e+17,mahur05
LeoGardil,343518424.0,7.9167102057916e+17,mahur05
arielsaporiti,559954428.0,7.9167102057916e+17,mahur05
CristinaFigliol,2557772984.0,7.9167102057916e+17,mahur05
maialacruz2208,1.117898639647572e+18,7.9167102057916e+17,mahur05
HermandadPro,1.2521769414043484e+18,7.9167102057916e+17,mahur05
1891nacho,355202135.0,7.9167102057916e+17,mahur05
Rojoazulyblanc1,1.2004629039436063e+18,7.9167102057916e+17,mahur05
La_July8,2484849733.0,7.9167102057916e+17,mahur05
Sergio12051,1.0126626020009492e+18,7.9167102057916e+17,mahur05
SonCaras,1.2453721544781988e+18,7.9167102057916e+17,mahur05
FerrariLylian,1.050900657010561e+18,7.9167102057916e+17,mahur05
WIFV5,1.2725107826648392e+18,7.9167102057916e+17,mahur05
congresofa,1.0399589794206106e+18,7.9167102057916e+17,mahur05
susanagladysfer,428380101.0,7.9167102057916e+17,mahur05
jaimenievesdiz,1438946659.0,7.9167102057916e+17,mahur05
adriana1tv,316590742.0,7.9167102057916e+17,mahur05
Silvia64106719,1.1942631007966863e+18,7.9167102057916e+17,mahur05
rubito131,1365712225.0,7.9167102057916e+17,mahur05
hover_rodri,868238587.0,7.9167102057916e+17,mahur05
LeytonLujan,2648567151.0,7.9167102057916e+17,mahur05
zurdodesuarez,781730772.0,7.9167102057916e+17,mahur05
VeronicaRF1272,1.2523380954056294e+18,7.9167102057916e+17,mahur05
Gnibia1,1.0722794762880573e+18,7.9167102057916e+17,mahur05
LadiLilian,1.2935537982044897e+18,7.9167102057916e+17,mahur05
santod_julio,9.199057591939768e+17,7.9167102057916e+17,mahur05
Monis_GF,2590459592.0,7.9167102057916e+17,mahur05
123jose11,1380865328.0,7.9167102057916e+17,mahur05
copelia07,1.2212441606252585e+18,7.9167102057916e+17,mahur05
enanogarcia2,1.2031763338634568e+18,7.9167102057916e+17,mahur05
barea_fernanda,1.1910222867086254e+18,7.9167102057916e+17,mahur05
MarSolCentena,156331376.0,7.9167102057916e+17,mahur05
sgodoyc84,1.2542045983126692e+18,7.9167102057916e+17,mahur05
AidaFue98173627,1.1772351548106138e+18,7.9167102057916e+17,mahur05
camp_15,544587464.0,7.9167102057916e+17,mahur05
fleeitastenorio,7.765178360554701e+17,7.9167102057916e+17,mahur05
CavcDelSur,160811341.0,7.9167102057916e+17,mahur05
juanandresuy,512582851.0,7.9167102057916e+17,mahur05
zemafeso,312619775.0,7.9167102057916e+17,mahur05
NelVillarreal,165841068.0,7.9167102057916e+17,mahur05
alejadelossant1,2685484833.0,7.9167102057916e+17,mahur05
gustavohill41,2777606849.0,7.9167102057916e+17,mahur05
cupertina54,153584865.0,7.9167102057916e+17,mahur05
AnaSAlvarino,1.234253113739092e+18,7.9167102057916e+17,mahur05
lilianyorugua,4259552374.0,7.9167102057916e+17,mahur05
troyanosng,1.1454233433671311e+18,7.9167102057916e+17,mahur05
aedweard,1.2041586802011382e+18,7.9167102057916e+17,mahur05
betorios73,774984649.0,7.9167102057916e+17,mahur05
valterchav,353278077.0,7.9167102057916e+17,mahur05
Lunatica2020,1.045098661225599e+18,7.9167102057916e+17,mahur05
crisjaim20,2382663585.0,7.9167102057916e+17,mahur05
AdrianTomasina,7.818349707802706e+17,7.9167102057916e+17,mahur05
CdlIsabel,2820839381.0,7.9167102057916e+17,mahur05
JorgeMaMo01,7.603117063839703e+17,7.9167102057916e+17,mahur05
sacarcaretas,1.1893422801859953e+18,7.9167102057916e+17,mahur05
mapal_uru,2252535374.0,7.9167102057916e+17,mahur05
susmar05,1547060336.0,7.9167102057916e+17,mahur05
_YoNoLosVote,1.1760893898957496e+18,7.9167102057916e+17,mahur05
Nataliabrites5,9.898598312207688e+17,7.9167102057916e+17,mahur05
ClaudiaPrezUbi1,1.2341563717566218e+18,7.9167102057916e+17,mahur05
pefier,140143065.0,7.9167102057916e+17,mahur05
PopularSentir,1.2950221387059692e+18,7.9167102057916e+17,mahur05
AnaLauraRodrgu7,2868324023.0,7.9167102057916e+17,mahur05
carlosbaz2,2511472682.0,7.9167102057916e+17,mahur05
cristin24421152,4907504853.0,7.9167102057916e+17,mahur05
carlosvarela02,328625269.0,7.9167102057916e+17,mahur05
SoyLaSombra5,1.2624292542828093e+18,7.9167102057916e+17,mahur05
OmarSenande,2362903020.0,7.9167102057916e+17,mahur05
Sodoma_Uy,3374895262.0,7.9167102057916e+17,mahur05
LcX29xxxx,8.328102634683146e+17,7.9167102057916e+17,mahur05
GardelianoSoy,7.126967710136852e+17,7.9167102057916e+17,mahur05
ClauPochi,447578292.0,7.9167102057916e+17,mahur05
cdanmatt,51648209.0,7.9167102057916e+17,mahur05
ElZurdoNecio,1.1965930159697347e+18,7.9167102057916e+17,mahur05
EvelynO81,1.2364038380698993e+18,7.9167102057916e+17,mahur05
fulanitofb,2933008797.0,7.9167102057916e+17,mahur05
rossanaricci081,3066030407.0,7.9167102057916e+17,mahur05
JPeloche,442987365.0,7.9167102057916e+17,mahur05
fernando_britos,75576640.0,7.9167102057916e+17,mahur05
unPUTEmas,554177556.0,7.9167102057916e+17,mahur05
Marzo49339640,1.3009031895296246e+18,7.9167102057916e+17,mahur05
LauraSoca3,9.069811369576161e+17,7.9167102057916e+17,mahur05
jmenendez251,3923674463.0,7.9167102057916e+17,mahur05
tapabocaguantes,1520595384.0,7.9167102057916e+17,mahur05
Pedro89980905,1.1772297846503096e+18,7.9167102057916e+17,mahur05
JPeloche,442987365.0,7.9167102057916e+17,mahur05
fernando_britos,75576640.0,7.9167102057916e+17,mahur05
unPUTEmas,554177556.0,7.9167102057916e+17,mahur05
Marzo49339640,1.3009031895296246e+18,7.9167102057916e+17,mahur05
LauraSoca3,9.069811369576161e+17,7.9167102057916e+17,mahur05
jmenendez251,3923674463.0,7.9167102057916e+17,mahur05
tapabocaguantes,1520595384.0,7.9167102057916e+17,mahur05
Pedro89980905,1.1772297846503096e+18,7.9167102057916e+17,mahur05
AraceLucia,2563964088.0,7.9167102057916e+17,mahur05
Ferchu2775,2647939037.0,7.9167102057916e+17,mahur05
JuanHryb1,9.910775640757248e+17,7.9167102057916e+17,mahur05
manugcapurro,970952952.0,7.9167102057916e+17,mahur05
canastasia33,2721290224.0,7.9167102057916e+17,mahur05
Wasele5,1.2570136028816138e+18,7.9167102057916e+17,mahur05
