id_str,screen_name,location,description,protected,verified,followers_count,friends_count,statuses_count,created_at
320504605,wajisdonian,"montevideo, uruguay",Nací el 24 de noviembre de https://t.co/03v1gqP1hW orgullosamente Escribano Publico. hincha de peñarol y blanco como hueso de bagual.,False,False,981,475,5108,2011-06-20 01:26:19
190872350,Andrea21UY,Uruguay,Vivimos con lo que tenemos pero hacemos una vida con lo que damos. Solo tenemos UNA VIDA y QUIERO que SIGNIFIQUE ALGO.Dallas Buyers Club. Iniciándome en TICs,False,False,500,1870,25814,2010-09-15 01:35:10
240487200,mercedesynelson,,,False,False,68,553,2346,2011-01-20 01:37:37
3363345184,La40canelones,"Canelones, Uruguay",Cuenta oficial de Espacio Cuarenta en Canelones | Partido Nacional,False,False,963,294,4507,2015-07-06 23:40:48
156308263,GonTricolor,,,False,False,404,2426,13099,2010-06-16 15:51:53
1091412999368257536,christiannarias,,20🍂 Arquitectura 🏙 ig: @christiannariass,False,False,73,86,2560,2019-02-01 19:08:31
848557439633031168,PaolaMontero250,Uruguay. Barrio Union,Esposa de Victor. Madre de Oriana y Tiziana. Perseverante y comprometida  !! Naci el 3 de mayo de 1976!!,False,False,218,108,3583,2017-04-02 15:27:13
1096167930520371200,_0902___,"Montevideo, Uruguay",Nacional y carnaval 🇳🇱🖤,False,False,482,489,3951,2019-02-14 22:02:55
252789553,justlikecams,Uruwhy|| Fpsic|| Teatro,"×•Mi cabeza está en aleatorio y paso de la risa al suicidio•×
•Fan account•",False,False,6732,3787,52297,2011-02-15 22:37:10
2189400882,Mikaela125carta,,,False,False,356,259,44830,2013-11-12 01:58:34
158169909,CamilaPerezL,,,False,False,64,176,5608,2010-06-21 23:59:19
2530622264,MissPanchi,,Holi,False,False,1656,1363,32555,2014-05-28 18:46:40
2831850299,jopeva1,,,False,False,85,152,25282,2014-10-15 15:36:23
3003910972,Seleee_11,Uruguay,"Army🖤
Atiny♥️
Exo-l💜
♠️♥️Hidden Kard♣️♦️
MOA💚
same love🌈 same rigths🌈",False,False,223,275,38114,2015-01-28 22:25:35
2953300797,djvask,Uruguay,"Un inadaptado de la vida.
Nunca viví en la Loma del Kinoto.",False,False,521,266,41158,2014-12-31 16:02:52
720961114184544256,WilliamPorciun1,ATLANTIDA,🇺🇾 MI PATRIA...MI MADRE !!!  NACIONAL MI GRAN PASIÓN.  AMOR INCONDICIONAL POR LA FAMILIA Y MIS HIJOS.,False,False,1168,1929,19099,2016-04-15 13:04:59
71637831,LetiDAndrea,"Montevideo, Uruguay","Amante de los animales, la arquitectura, de NTVG y del BOLSO que es lo más grande que hay.",False,False,167,185,6698,2009-09-04 21:02:37
805942671080615936,nachonovaresse,Cerrito,,False,False,639,502,17710,2016-12-06 01:11:21
2685818500,ivanagonzalez71,Cardona-Uruguay,SANTINO E ISABELLA. 🧒🏽👧🏽❤️,False,False,811,406,44580,2014-07-08 04:59:29
1471097678,fede2435,Montevideo,"Medicina, 24 años, Montevideo, Uruguay.",False,False,426,434,16202,2013-05-31 01:58:08
2179021651,ramirogarcia04,Uruguay,"¿Qué sueño tendrá hambre de una palabra, de una gota de sangre?
@socialistas90",False,False,815,1098,19228,2013-11-07 00:12:41
2645951316,DiarioCambios,"Florida, Uruguay",,False,False,2223,311,12057,2014-07-14 16:58:16
4498469715,Alesitoledo,,♓Piscis♓,False,False,607,263,17409,2015-12-16 02:57:47
1932282715,malemachado_,Montevideo,🔥Estamos hartas🔥,False,False,329,414,4365,2013-10-03 22:29:36
2250445659,pilicanedo,,,False,False,852,854,195166,2013-12-29 17:07:17
162810719,claraklayton,Uruguay,"Manya desde 1966, gracias a mí papá 🖤💛. De Aguada.❤️💚 #YoSiLosVote. No adhiero al neo_feminismo. Tenencia compartida. #NoMasPensionesATupas",False,False,1782,911,65971,2010-07-04 19:07:14
1539668832,_polir5,Uruguay,intento aprender y mejorar todos los días | 🖤🤍💚,False,False,343,194,64011,2013-06-22 23:13:38
2731289439,BabelErro,"Dolores, Uruguay",Ingeniera Agrónoma,False,False,749,581,664,2014-08-02 03:01:15
1478585186,AlanSpektor14,Uruguay,Hincha de Nacional como Hugh Jackman,False,False,328,327,13356,2013-06-03 01:14:16
442987365,JPeloche,montevideo,Psicólogo y de pensamiento insistentemente libre. Enredado en la utopía moderna de querer cambiar el mundo,False,False,743,1192,4009,2011-12-21 17:48:56
1241875789529985024,marianaubillos,,"Hija, madre, hermana, tití, amiga.

Nacionalista, blanca, espacio 40, herrerista, veritas",False,False,202,151,1290,2020-03-22 23:54:16
2653365099,CalabuigGabriel,,"Oriental y cristiano. Tricolor hincha del OCC. Casado, tres hijos.",False,False,152,339,672,2014-06-29 14:13:49
163447660,soleislas,"Montevideo, Uruguay","25 años | Psicología | Hincha y Socia 189948 del Campeón del Siglo 🌓 | Feminista 💜 | Atea | Pride 🏳️‍🌈 | I💛Y3T | FA 🇺🇾 | Melo, Cerro Largo",False,False,1456,453,89996,2010-07-06 12:58:58
58501997,rnugue,Uruguay,"Delta E 's Director
Media & Entertainment",False,False,465,790,14751,2009-07-20 15:31:55
175930223,getchandy,Montevideo - Uruguay,"Ing. en sist., casada, uruguaya. Sobreviviendo con la nueva normalidad...",False,False,2243,4980,62569,2010-08-08 01:53:00
979367639951822848,karoo018,,,True,False,70,137,1457,2018-03-29 14:40:16
3341843315,enso_reyes, Camino de los colonos.la paz,blanco hasta los huesos!!!,False,False,453,506,14576,2015-06-22 18:47:15
2236957556,MathiMillan,,"Nací para fracasar, vivo fracasando.
Dios de la mala suerte.",False,False,296,239,15651,2013-12-09 03:46:00
4819649399,MeliAguiar3,,,False,False,646,353,7651,2016-01-16 23:55:19
157776761,elhaelhita,Montevideo,enamorada de las utopías eternas!!!!,False,False,520,2843,5920,2010-06-20 21:22:28
2299171706,robocop345,fray bentos-salto,"trato de ponerle onda a la vida pero la vida no ayuda,
trabajador social en potencia, boludo en el acto,
hago como que soy arquero",False,False,289,559,3763,2014-01-19 06:59:36
1578552187,Eliurrutiaa,"Montevideo, Uruguay ",• SOLTAR - Liberté • ♐️ ig: eliurrutiaa | Abogada ⚖️ |,False,False,312,476,19290,2013-07-08 20:12:17
3027057533,petche64,"Montevideo, Uruguay",Doctor en Derecho y Ciencias Sociales. Posgrado ITBA San Andres Buenos Aires Master Esade Carlos III Madrid. Facilitador Robin Sharma LWT,False,False,1508,5002,39996,2015-02-09 19:33:24
760311706383970304,JorgeMaMo01,"Florida, Uruguay","💛🖤Hincha de  Peñarol 💛🖤 Me gusta actuar fiel a mi modo de pensar, no soy influenciable. #YoNoLosVote",False,False,819,734,14818,2016-08-02 03:10:11
877876114420625408,MaraIsabelMor13,"Montevideo, Uruguay","Docente egresada de Instituto Normal de Montevideo. Con cursos en biblioteca de aula, Biblioteca Pedagógica. Aficionada a la lectura y la pintura",False,False,816,745,17713,2017-06-22 13:09:10
849954716490625024,chizodelca,,"Nacional. Uso mucho twitter, te voy a llenar el inicio después no digas que no avise",False,False,531,2480,27155,2017-04-06 11:59:30
928398009225932800,Bettifati,"Montevideo, Uruguay","Ser pensante,  observador y apolitica
Creo en lo que veo.",False,False,151,569,2140,2017-11-08 23:05:09
973675181926477824,AdrianoRib13,"Montevideo, Uruguay",Techno 🖤👽,False,False,147,343,10820,2018-03-13 21:40:28
2960982915,DarioJose_76,"Montevideo, Uruguay",,False,False,155,538,5440,2015-01-04 22:02:24
2530362252,MarielaArtola,Uruguay,"Pensamos distinto, nos respetamos igual",False,False,1310,1533,10139,2014-05-28 16:26:18
1689187208,RominaaPosada,"Montevideo, Uruguay","Estudiante de comunicación 📚📽📺🎙Caminos nuevos, horizontes desconocidos, futuro prometedor.      Coche 17, Cambo 2015. Ruta Joven.",False,False,589,895,21502,2013-08-21 20:39:26
4421518222,JorgeLandi4,"Montevideo, Uruguay",Sarandiyense hasta el tutano. Y oriental a muerte.,False,False,4547,173,10888,2015-12-09 01:16:31
64936846,GonzaloGDA,,"Vegano, Animalista, #UruguaySinJineteadas, #BastaDeTAS
Tolerancia CERO al maltrato animal.

#YoNoLosVote",False,False,617,561,37371,2009-08-12 04:28:59
2478689167,404avelino,montevideo,"Nacido en Fray Bentos,Vivo en Montevideo, Convencional Nacional P. N.",False,False,1093,370,54060,2014-05-05 18:02:33
342133649,juandiegollona,"Paysandú, Uruguay",Químico Agrícola y Medio Ambiente / EEMAC Agronomía Paysandú / Wilsonista💙⚪,False,False,156,210,11227,2011-07-25 14:56:30
976953198345965568,Syfcarolina,,,False,False,15,168,337,2018-03-22 22:46:08
1248714225578659840,miicaelalopez6,,Estudiante de nutrición 🥗,False,False,78,116,512,2020-04-10 20:47:34
2890728341,Leo_Weeknd,"Uruguay,Las Piedras",Capricornio/Peñarol/snap leitu21,False,False,1454,1038,44797,2014-11-24 13:12:04
218143641,inesgardil,,,False,False,310,895,4368,2010-11-21 15:01:47
522169243,COMPROMISOSOLI,,Comprometid@ con la sociedad. Hincha a muerte del Uruguay y de los uruguayos honestos. Retwiter@ viej@ Zurdopata congénito. Sofista,True,False,353,624,16522,2012-03-12 11:23:55
2442701724,LizetElizabeth,"Montevideo, Uruguay",#YOFIRMOCONTRALALUC,False,False,424,266,65454,2014-04-13 21:22:24
2640651165,agustinslv,,,False,False,44,168,70,2014-06-25 13:00:57
