,afinidad,pageranks,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,clustering,eigencentrality,protected,verified,followers_count,friends_count,statuses_count
905,,0.000769,0.34946900000000003,0.38754,0.001436,0.020083,0.013252000000000002,0.389916,0.227163,False,False,1344.0,1101.0,37078.0
906,,0.00025299999999999997,0.28341,0.31155700000000003,1e-06,0.005543,0.002867,0.642857,0.06649,False,False,139.0,242.0,11741.0
907,,0.000305,0.309727,0.33779499999999996,3.6e-05,0.0065829999999999994,0.004917,0.519231,0.080091,False,False,72.0,109.0,3246.0
908,,0.000133,0.264625,0.285556,0.0,0.0014810000000000001,0.0013130000000000001,0.166667,0.008458,False,False,63.0,287.0,9165.0
909,,0.001181,0.305596,0.337567,0.005557,0.004825,0.004706,0.134211,0.079182,False,False,733.0,715.0,3589.0
910,cm,0.0031899999999999997,0.36357399999999995,0.425601,0.016000999999999998,0.055357,0.062901,0.18399000000000001,0.274206,False,False,5904.0,5110.0,69891.0
911,,0.00020899999999999998,0.303834,0.338791,0.000233,0.0027649999999999997,0.017716,0.31666700000000003,0.014806,,,,,
912,cm,0.002107,0.300885,0.34065500000000004,0.00043799999999999997,0.024007,0.020665,0.320565,0.139507,False,False,1841.0,856.0,10537.0
913,,0.000221,0.264094,0.292806,1e-06,0.005361,0.017314,0.356061,0.018595,,,,,
914,cm,0.001786,0.300799,0.335314,0.000381,0.022330000000000003,0.025473,0.44023,0.134049,False,False,981.0,475.0,5108.0
915,,0.000154,0.269359,0.301241,2e-06,0.001011,0.015447999999999998,0.377778,0.00448,,,,,
916,,0.000365,0.24643400000000001,0.273819,1.4999999999999999e-05,0.002441,0.009929,0.25,0.00912,False,False,422.0,201.0,4180.0
917,,0.000123,0.304035,0.329251,0.0,0.0,0.013172999999999999,0.533333,0.0,False,False,128.0,261.0,1495.0
918,,0.0006349999999999999,0.296484,0.333914,0.00029,0.022828,0.017773,0.339901,0.088272,False,False,554.0,392.0,15071.0
919,,0.000348,0.24324899999999997,0.262811,0.000715,0.0,0.006912000000000001,0.25,9.300000000000001e-05,False,False,872.0,1289.0,41483.0
920,,0.000202,0.232825,0.24966799999999997,0.0,0.008685,0.009806,0.455556,0.037689,,,,,
921,,0.000169,0.296484,0.330248,0.0,0.004013,0.014846999999999999,0.52381,0.016012000000000002,False,False,144.0,285.0,2111.0
922,,0.000147,0.237067,0.255366,0.0,0.00018,0.005176,0.333333,0.000135,False,False,249.0,171.0,2373.0
923,,0.000405,0.261928,0.29080300000000003,1e-06,0.004137,0.014261000000000001,0.571429,0.024944,False,False,340.0,365.0,4020.0
924,,0.000123,0.23933800000000002,0.25724600000000003,0.0,0.0,0.006958,0.5,0.0,,,,,
925,,0.000183,0.294496,0.320602,1.3000000000000001e-05,0.009964,0.007098,0.41111099999999995,0.031363999999999996,False,False,277.0,274.0,3880.0
926,,0.0014210000000000002,0.23272199999999998,0.24943099999999999,1e-06,0.00707,0.009806,0.464286,0.043227999999999996,False,False,463.0,168.0,839.0
927,,0.00031600000000000004,0.267513,0.29430100000000003,0.00011200000000000001,0.0021550000000000002,0.009753,0.119048,0.0069180000000000005,False,False,105.0,476.0,4127.0
928,,0.000321,0.299687,0.327596,0.000968,0.005715,0.0109,0.375,0.028048000000000003,False,False,262.0,358.0,50335.0
929,,0.000192,0.29229099999999997,0.328246,9.300000000000001e-05,0.005026,0.025858999999999997,0.342857,0.022064,False,False,177.0,504.0,5930.0
930,,0.000586,0.337388,0.382052,0.000327,0.029427999999999996,0.031705000000000004,0.351587,0.11407300000000001,False,False,982.0,1046.0,7392.0
931,,0.000133,0.258841,0.282788,0.0,0.0008960000000000001,0.007986,0.416667,0.002475,False,False,112.0,232.0,501.0
932,,0.00014,0.291724,0.324966,0.0,0.002411,0.014313,0.347222,0.008158,,,,,
933,,0.000123,0.231106,0.24622399999999997,0.0,0.0,0.00662,1.0,0.0,False,False,64.0,176.0,5608.0
934,,0.00046399999999999995,0.282877,0.311078,2e-05,0.0065379999999999995,0.008938,0.311111,0.031843,,,,,
935,cm,0.012584,0.269083,0.298894,0.006875,0.194918,0.016876,0.06004400000000001,0.782313,False,True,43315.0,891.0,37628.0
936,,0.000562,0.266162,0.294584,1e-06,0.006014,0.01384,0.628788,0.031143999999999998,False,False,79.0,32.0,828.0
937,,0.00015900000000000002,0.315191,0.35125100000000004,0.00223,0.002758,0.016576,0.263736,0.013163,False,False,525.0,762.0,7061.0
938,,0.000258,0.27207,0.29962,8e-05,0.004629,0.018088,0.296703,0.023766,False,True,73390.0,26888.0,182738.0
939,,0.00027,0.290358,0.316633,3e-06,0.006594,0.013552000000000002,0.372727,0.027164999999999998,False,False,1091.0,1836.0,173393.0
940,,0.001268,0.30533000000000005,0.346038,0.00036899999999999997,0.070312,0.028273000000000003,0.279099,0.26908899999999997,False,False,3066.0,398.0,46119.0
941,,0.00037,0.284404,0.315716,0.000221,0.018986000000000003,0.018281,0.371377,0.082096,,,,,
942,,0.000166,0.257954,0.285928,0.0,0.004084,0.020933,0.5363640000000001,0.019565,False,False,64.0,193.0,2991.0
943,,0.000458,0.28494200000000003,0.309535,4e-06,0.0033299999999999996,0.007271,0.55,0.027177,False,False,119.0,71.0,2104.0
944,,0.000198,0.262581,0.286191,1e-06,0.001045,0.010757,0.4,0.005094,False,False,51.0,195.0,591.0
945,,0.000162,0.253244,0.278505,0.0,0.001067,0.016936,0.714286,0.004898,,,,,
946,cm,0.0046229999999999995,0.29229099999999997,0.333223,0.0017800000000000001,0.101155,0.034126,0.17538299999999998,0.43628199999999995,False,False,5634.0,407.0,16567.0
947,cm,0.001585,0.30392199999999997,0.341737,0.000866,0.033149,0.024051,0.398111,0.16504000000000002,False,False,963.0,294.0,4507.0
948,,0.00047000000000000004,0.307647,0.343537,7.6e-05,0.028261,0.024834000000000002,0.417204,0.115373,False,False,677.0,437.0,66700.0
949,,0.001009,0.287664,0.32315,0.000302,0.030060000000000003,0.030681,0.353205,0.132986,False,False,395.0,179.0,569.0
950,,0.000145,0.252153,0.274915,0.0,0.0019420000000000001,0.015934999999999998,0.6190479999999999,0.012503,False,False,50.0,200.0,583.0
951,,0.000521,0.27312800000000004,0.299261,0.000109,0.030187000000000002,0.013531999999999999,0.327621,0.11605,False,False,1281.0,398.0,33199.0
952,cm,0.00474,0.2964,0.331752,0.0015,0.09182,0.024234000000000002,0.161109,0.369575,False,False,8342.0,623.0,32519.0
953,,0.000123,0.25582,0.280791,0.0,0.0,0.012763,0.75,0.0,False,False,16.0,69.0,117.0
954,,0.000146,0.264425,0.287953,1.2e-05,0.000145,0.010789,0.30952399999999997,0.00032599999999999996,False,False,82.0,308.0,87.0
955,cm,0.002188,0.264492,0.294027,4.3e-05,0.032512,0.014537999999999999,0.35210199999999997,0.173782,False,False,1574.0,170.0,2940.0
956,,0.00016,0.23205599999999998,0.248403,0.0,0.00016299999999999998,0.006772,0.5,0.000121,False,False,5.0,22.0,94.0
957,,0.000221,0.25209299999999996,0.274441,0.0008289999999999999,0.000814,0.010408,0.633333,0.003144,False,False,6.0,24.0,15.0
958,,0.000291,0.28829299999999997,0.32455500000000004,6e-06,0.008369,0.022853000000000002,0.529412,0.033964,False,False,100.0,146.0,4724.0
959,,0.000641,0.278762,0.311842,7.000000000000001e-06,0.013455000000000002,0.026236000000000002,0.554113,0.06002999999999999,,,,,
960,,0.0029649999999999998,0.242076,0.262939,0.000546,0.014582,0.004016,0.182759,0.081609,False,True,3722.0,611.0,48863.0
961,cm,0.004229,0.280992,0.316289,0.0018399999999999998,0.04847,0.012384000000000001,0.188684,0.223162,False,False,2943.0,967.0,5892.0
962,,0.000407,0.245002,0.258327,0.000113,0.020286000000000002,0.00011899999999999999,0.216667,0.063299,False,False,987.0,125.0,124676.0
963,,0.000231,0.27355300000000005,0.295152,0.00262,0.0014759999999999999,0.004799,0.14444400000000002,0.009906,False,False,235.0,711.0,1746.0
964,,0.000226,0.303048,0.341326,3.5e-05,0.010665000000000001,0.013747,0.318681,0.040570999999999996,False,False,303.0,148.0,39950.0
965,,0.00021600000000000002,0.323313,0.358392,1.1e-05,0.01182,0.011834,0.545455,0.045667,False,False,266.0,401.0,5103.0
966,,0.000231,0.274122,0.300072,0.000981,0.0016769999999999999,0.00145,0.0,0.00837,False,False,564.0,417.0,19143.0
967,cm,0.002462,0.326316,0.372863,0.0016710000000000002,0.035991,0.025944,0.443011,0.184349,False,False,1083.0,739.0,35503.0
968,,0.000217,0.291724,0.321521,4.5e-05,0.008727,0.002157,0.333333,0.03658,,,,,
969,,0.00022999999999999998,0.26232,0.288869,6e-06,0.0017100000000000001,0.007631999999999999,0.25,0.013853,False,False,362.0,856.0,49322.0
970,,0.000302,0.287585,0.318856,1e-06,0.012218999999999999,0.008371,0.487179,0.05749,False,False,183.0,96.0,18347.0
971,,0.000149,0.284557,0.31805100000000003,0.0,0.004307,0.010512,0.595238,0.015999,False,False,81.0,117.0,6598.0
972,,0.000398,0.288767,0.315783,0.002535,0.001201,0.005166,0.125,0.0034939999999999997,,,,,
973,,0.000725,0.32794,0.361116,0.000312,0.018715,0.010869,0.225,0.083922,,,,,
974,,0.001047,0.342097,0.371316,0.01254,0.00486,0.003978,0.12820499999999999,0.050235,False,False,720.0,1207.0,19094.0
975,,0.00023999999999999998,0.303659,0.327309,5.6000000000000006e-05,0.005297,0.002039,0.06666699999999999,0.020666999999999998,False,False,8639.0,6985.0,342657.0
976,,0.000231,0.28325700000000004,0.313418,2e-06,0.012471,0.007523,0.47727299999999995,0.055928,False,False,206.0,362.0,15967.0
977,,0.000225,0.24185399999999999,0.254943,0.0008529999999999999,0.000145,7.5e-05,0.0,0.000384,,,,,
978,,0.000123,0.29273000000000005,0.323315,0.0,0.0,0.005425999999999999,0.666667,0.0,False,False,52.0,138.0,675.0
979,,0.000123,0.25185,0.27009099999999997,0.0,0.0,0.000978,0.0,0.0,False,False,16.0,130.0,2335.0
980,,0.000299,0.27635,0.294906,7e-05,0.006993999999999999,0.0010429999999999999,0.125,0.052612,False,False,422.0,328.0,10989.0
981,,0.000174,0.303746,0.338021,1e-06,0.004439,0.010869,0.5,0.020262,,,,,
982,,0.000147,0.278541,0.298954,8e-06,0.00021600000000000002,0.0024579999999999997,0.5,0.001224,False,False,94.0,496.0,20798.0
983,,0.000123,0.21218800000000002,0.22595900000000002,0.0,0.0,0.003047,0.0,0.0,False,False,551.0,325.0,1736.0
984,,0.000123,0.21218800000000002,0.22595900000000002,0.0,0.0,0.003047,0.0,0.0,,,,,
985,,0.000138,0.285637,0.314645,0.0,0.001645,0.0063170000000000006,0.5,0.010715,,,,,
986,,0.000173,0.21215799999999999,0.22593600000000003,0.0,0.00233,0.003047,0.333333,0.01489,,,,,
987,,0.000123,0.23481,0.25050300000000003,0.0,0.0,0.008041,0.0,0.0,False,False,335.0,1146.0,4105.0
988,,0.000123,0.21218800000000002,0.22595900000000002,0.0,0.0,0.003047,0.0,0.0,False,False,826.0,359.0,20489.0
989,,0.000188,0.274909,0.30508,0.0,0.006027,0.008345,0.43055600000000005,0.017135,,,,,
990,,0.001547,0.270187,0.297558,0.000286,0.0045590000000000006,0.010013,0.45238100000000003,0.027306,False,False,359.0,138.0,2501.0
991,,0.00014199999999999998,0.290118,0.31664000000000003,6e-06,0.001424,0.009401000000000001,0.261905,0.009798999999999999,False,False,175.0,296.0,1468.0
992,,0.00014,0.24257800000000002,0.266225,2e-06,0.00035,0.008758,0.30952399999999997,6.9e-05,False,False,73.0,140.0,339.0
993,cm,0.001834,0.30595100000000003,0.342844,0.000273,0.021840000000000002,0.022491999999999998,0.421958,0.137602,False,False,724.0,324.0,3174.0
994,,0.000212,0.287037,0.32042600000000004,2.4e-05,0.00839,0.007201999999999999,0.25,0.031514999999999994,False,False,473.0,454.0,24722.0
995,medio,0.004714,0.241466,0.264878,0.001039,0.046225999999999996,0.004427,0.083801,0.198918,False,True,13561.0,279.0,21420.0
996,periodista,0.002139,0.270534,0.29578699999999997,0.00048300000000000003,0.006384,0.003592,0.371429,0.039060000000000004,False,False,635.0,228.0,2120.0
997,,0.000488,0.325309,0.346853,0.002649,0.004218,0.0015810000000000002,0.138889,0.029227,False,False,1689.0,1323.0,106654.0
998,,0.0007700000000000001,0.32261999999999996,0.345383,0.006425,0.002555,0.001621,0.041667,0.021698,False,False,815.0,1098.0,19228.0
999,,0.00019099999999999998,0.296651,0.31804499999999997,0.0,0.001084,0.00086,1.0,0.011999,False,False,152.0,263.0,4743.0
1000,,0.0012259999999999999,0.288136,0.323938,4.5e-05,0.034817,0.020344,0.44332,0.17536400000000002,,,,,
1001,cm,0.004321,0.29994299999999996,0.338978,0.001344,0.062308,0.027381,0.23376599999999997,0.316406,False,False,2351.0,800.0,13835.0
1002,cm,0.007181999999999999,0.266027,0.29783899999999996,0.000343,0.14991,0.017015,0.117273,0.606452,False,False,14194.0,98.0,17499.0
1003,,0.000138,0.284711,0.312194,0.0,0.001645,0.0020329999999999997,0.0,0.010715,False,False,501.0,594.0,3019.0
1004,,0.000169,0.286024,0.315436,2e-06,0.003595,0.003438,0.25,0.016380000000000002,,,,,
1005,,0.00035499999999999996,0.260183,0.273252,0.0,0.001854,0.000426,0.333333,0.013088999999999998,False,False,1456.0,453.0,89996.0
1006,,0.0009689999999999999,0.260311,0.273884,0.001754,0.005099,0.000426,0.081818,0.026682,False,False,2382.0,583.0,68449.0
1007,,0.000133,0.26044,0.274121,1.4999999999999999e-05,0.0014810000000000001,0.000493,0.0,0.008458,False,False,87.0,298.0,1646.0
1008,,0.000739,0.272351,0.306767,0.00042,0.00533,0.014759,0.487179,0.030222000000000002,False,False,218.0,108.0,3583.0
1009,,0.000275,0.31804499999999997,0.345904,0.0034460000000000003,0.003714,0.009274,0.166667,0.012963999999999998,False,False,259.0,378.0,2427.0
1010,,0.0004969999999999999,0.253304,0.27713499999999996,7.900000000000001e-05,0.004159,0.0024579999999999997,0.402778,0.014134,,,,,
1011,,0.00014199999999999998,0.234639,0.255949,1e-06,0.002224,0.001208,0.416667,0.00792,False,False,151.0,172.0,2041.0
1012,,0.000123,0.25,0.273687,0.0,0.0,0.007143000000000001,0.416667,0.0,False,False,50.0,299.0,560.0
1013,,0.000123,0.222059,0.24075700000000003,0.0,0.0,0.00252,0.866667,0.0,False,False,68.0,289.0,9.0
1014,,0.000145,0.250773,0.271735,0.0,0.0019420000000000001,0.004321,0.3,0.012503,True,False,127.0,304.0,6478.0
1015,,0.000221,0.222504,0.23307199999999997,3.8e-05,3.6e-05,0.000802,0.0,0.000542,False,False,186.0,275.0,994.0
1016,,0.000148,0.26522399999999996,0.286686,1e-06,0.0010119999999999999,0.0032240000000000003,0.166667,0.004926,False,False,41.0,114.0,437.0
1017,,0.00040599999999999995,0.320365,0.348608,0.0011359999999999999,0.005446,0.0036130000000000003,0.11111099999999999,0.022336,,,,,
1018,,0.000197,0.267377,0.296797,0.00049,0.000516,0.01395,0.245455,0.000393,,,,,
1019,,0.000134,0.262189,0.2912,0.0,0.001269,0.009341,0.7,0.004264,False,False,57.0,111.0,1440.0
1020,,0.000188,0.26977199999999996,0.28875700000000004,0.000357,0.00013000000000000002,0.0055,0.25,0.00015800000000000002,False,False,1064.0,1000.0,69213.0
1021,,0.00018600000000000002,0.264492,0.293159,0.0,0.0055130000000000005,0.005796,0.595238,0.028096,,,,,
1022,,0.0006129999999999999,0.252395,0.276955,5.3e-05,0.007764,0.006605,0.507576,0.042730000000000004,False,False,140.0,52.0,2726.0
1023,,0.000165,0.27957600000000005,0.305519,2e-06,0.005817,0.005693,0.428571,0.02323,False,False,107.0,186.0,4475.0
1024,,0.000148,0.232877,0.250363,0.0,0.002395,0.0033840000000000003,0.5,0.019207,,,,,
1025,,0.000207,0.303834,0.323965,0.000683,0.001424,0.006981,0.333333,0.002741,False,False,676.0,872.0,10729.0
1026,,0.000182,0.242076,0.26142,4.4e-05,0.000299,0.0065969999999999996,0.25,0.00021,False,False,639.0,502.0,17710.0
1027,,0.000133,0.24835100000000002,0.270502,0.0,0.0006309999999999999,0.0043950000000000005,0.333333,0.0008880000000000001,False,False,153.0,505.0,14586.0
1028,,0.00021600000000000002,0.301746,0.323778,0.000102,0.001511,0.002137,0.05,0.007551,False,False,465.0,790.0,14751.0
1029,,0.000367,0.28618000000000005,0.309332,0.001656,0.002973,0.008036,0.14743599999999998,0.006344,,,,,
1030,,0.000227,0.21193299999999998,0.22742600000000002,0.0007059999999999999,0.0,0.003186,0.0,5.2000000000000004e-05,,,,,
1031,,0.000138,0.211902,0.22740500000000002,0.0,0.001645,0.003186,0.0,0.010715,,,,,
1032,,0.000123,0.21193299999999998,0.22742600000000002,0.0,0.0,0.003186,0.0,0.0,,,,,
1033,,0.00037999999999999997,0.263962,0.27715300000000004,0.000984,0.000346,0.003204,0.15,0.00043499999999999995,False,False,812.0,382.0,18235.0
1034,,0.000123,0.21193299999999998,0.22742600000000002,0.0,0.0,0.003186,0.0,0.0,,,,,
1035,,0.0008349999999999999,0.243756,0.26387,0.006506999999999999,0.00047699999999999994,0.003334,0.053571,0.0013,,,,,
1036,,0.000123,0.266011,0.280348,0.0,0.0,0.0035909999999999996,0.0,0.0,,,,,
1037,,0.000275,0.25508200000000003,0.275304,3e-06,0.008427,0.003961,0.354545,0.029401,,,,,
1038,,0.000123,0.24823499999999998,0.268979,0.0,0.0,0.002454,0.0,0.0,,,,,
1039,,0.000354,0.309909,0.341364,0.0025039999999999997,0.000198,0.006156,0.14285699999999998,0.001084,,,,,
1040,,0.00034500000000000004,0.229081,0.24233000000000002,0.002188,2e-06,0.001836,0.0,0.000192,False,False,1055.0,2329.0,12048.0
1041,,0.00016,0.301057,0.325018,0.000942,0.001106,0.001145,0.166667,0.015648,False,False,248.0,423.0,3961.0
1042,,0.000157,0.289959,0.31059000000000003,0.0,0.000736,0.0017519999999999999,1.0,0.010537000000000001,,,,,
1043,,0.000395,0.261344,0.279501,0.000144,0.000539,0.000421,0.0,0.006498,,,,,
1044,,0.000531,0.249881,0.26724000000000003,0.001547,0.001808,0.000792,0.083333,0.019253,False,False,367.0,309.0,2845.0
